q,x
5,-1.0
5,13.0
7,1.0
5,1.0
9,-1.0
5,-1.0
5,3.0
15,1.0
17,-1.0
31,1.0
5,1.0
5,-1.0
5,17.0
5,33.0
5,-1.0
33,-1.0
7,1.0
63,1.0
9,-1.0
15,1.0
17,-1.0
31,1.0
33,-1.0
63,1.0
65,-1.0
127,1.0
129,-1.0
5,3.0
7,1.0
5,27.0
65,-1.0
9,-1.0
127,1.0
5,43.0
129,-1.0
255,1.0
257,-1.0
511,1.0
513,-1.0
181,27.0
181,35.0
181,99.0
181,611.0
1023,1.0
1025,-1.0
5,83.0
7,1.0
9,-1.0
2047,1.0
2049,-1.0
15,1.0
17,-1.0
4095,1.0
4097,-1.0
5,-1.0
8191,1.0
8193,-1.0
31,1.0
5,13.0
15,1.0
7,1.0
16383,1.0
33,-1.0
16385,-1.0
255,1.0
257,-1.0
5,17.0
5,33.0
5,-1.0
17,-1.0
5,27.0
5,43.0
511,1.0
9,-1.0
513,-1.0
32767,1.0
32769,-1.0
5,83.0
5,-1.0
5,-17.0
63,1.0
65,-1.0
5,-21.0
5,-21.0
5,-13.0
65535,1.0
65537,-1.0
5,-109.0
1023,1.0
1025,-1.0
15,1.0
31,1.0
33,-1.0
127,1.0
129,-1.0
9,-1.0
17,-1.0
131071,1.0
131073,-1.0
2047,1.0
2049,-1.0
262143,1.0
262145,-1.0
63,1.0
65,-1.0
255,1.0
257,-1.0
15,1.0
4095,1.0
4097,-1.0
9,-1.0
524287,1.0
524289,-1.0
31,1.0
17,-1.0
33,-1.0
8191,1.0
8193,-1.0
511,1.0
513,-1.0
127,1.0
129,-1.0
16383,1.0
16385,-1.0
15,1.0
181,27.0
181,35.0
181,99.0
181,611.0
63,1.0
31,1.0
65,-1.0
17,-1.0
33,-1.0
1023,1.0
1025,-1.0
32767,1.0
32769,-1.0
255,1.6843009E7
65535,65537.0
